timestamp,sensor,label,valor
1778243264220,gyr_x,0,0.31173253
1778243264220,gyr_y,0,0.26898748
1778243264220,gyr_z,0,0.053264845
1778243264221,gyr_x,0,0.25793502
1778243264221,gyr_y,0,0.23449849
1778243264221,gyr_z,0,0.12703666
1778243264222,rot_x,0,0.26031166
1778243264222,rot_y,0,0.01552352
1778243264222,rot_z,0,0.10309668
1778243264222,rot_w,0,0.9598791
1778243264222,rot_accuracy,0,1.5707964
1778243264224,rot_x,0,0.26302546
1778243264224,rot_y,0,0.018265445
1778243264224,rot_z,0,0.10425536
1778243264224,rot_w,0,0.9589655
1778243264224,rot_accuracy,0,1.5707964
1778243264225,mag_x,0,-2177.869
1778243264225,mag_y,0,-308.40002
1778243264225,mag_z,0,-545.92505
1778243264226,mag_x,0,-2177.7002
1778243264226,mag_y,0,-308.4375
1778243264226,mag_z,0,-529.3313
1778243264226,mag_x,0,-2176.4814
1778243264226,mag_y,0,-307.70627
1778243264226,mag_z,0,-494.23126
1778243264227,acc_x,0,-0.23236142
1778243264227,acc_y,0,4.4555902
1778243264227,acc_z,0,8.234457
1778243264227,acc_x,0,0.48268893
1778243264227,acc_y,0,5.0424824
1778243264227,acc_z,0,8.308718
1778243264228,gyr_x,0,0.092414506
1778243264228,gyr_y,0,0.28070575
1778243264228,gyr_z,0,0.6828553
1778243264228,gyr_x,0,0.087887
1778243264228,gyr_y,0,0.42918152
1778243264228,gyr_z,0,0.8875255
1778243264229,rot_x,0,0.26525405
1778243264229,rot_y,0,0.0204672
1778243264229,rot_z,0,0.106025316
1778243264229,rot_w,0,0.9581128
1778243264229,rot_accuracy,0,1.5707964
1778243264230,rot_x,0,0.26596949
1778243264230,rot_y,0,0.021438412
1778243264230,rot_z,0,0.11325991
1778243264230,rot_w,0,0.95706475
1778243264230,rot_accuracy,0,1.5707964
1778243264231,mag_x,0,-2175.7688
1778243264231,mag_y,0,-307.14377
1778243264231,mag_z,0,-489.80627
1778243264232,mag_x,0,-2173.5938
1778243264232,mag_y,0,-307.08752
1778243264232,mag_z,0,-519.4313
1778243264232,mag_x,0,-2171.3064
1778243264232,mag_y,0,-307.10626
1778243264232,mag_z,0,-523.3875
1778243264233,acc_x,0,0.22397724
1778243264233,acc_y,0,5.480855
1778243264233,acc_z,0,8.227271
1778243264234,acc_x,0,-1.1150953
1778243264234,acc_y,0,6.3647866
1778243264234,acc_z,0,7.8990903
1778243264234,gyr_x,0,0.35487705
1778243264234,gyr_y,0,0.46566793
1778243264234,gyr_z,0,0.7891187
1778243264235,gyr_x,0,0.67220235
1778243264235,gyr_y,0,0.18882388
1778243264235,gyr_z,0,-0.15020686
1778243264236,rot_x,0,0.26651183
1778243264236,rot_y,0,0.023267029
1778243264236,rot_z,0,0.12283157
1778243264236,rot_w,0,0.9556896
1778243264236,rot_accuracy,0,1.5707964
1778243264237,rot_x,0,0.27032515
1778243264237,rot_y,0,0.027039474
1778243264237,rot_z,0,0.13118929
1778243264237,rot_w,0,0.95340586
1778243264237,rot_accuracy,0,1.5707964
1778243264267,acc_x,0,-0.4970618
1778243264267,acc_y,0,6.6043344
1778243264267,acc_z,0,8.030842
1778243264267,acc_x,0,0.032338962
1778243264267,acc_y,0,5.9970803
1778243264267,acc_z,0,8.205711
1778243264268,gyr_x,0,0.076568216
