,precision,recall,f1-score,support
0,0.75,0.7272727272727273,0.7384615384615385,33.0
A,0.9645232815964523,0.9294871794871795,0.9466811751904244,468.0
B,0.9526226734348562,0.9825479930191972,0.9673539518900344,573.0
accuracy,0.9515828677839852,0.9515828677839852,0.9515828677839852,0.9515828677839852
macro avg,0.8890486516771028,0.8797692999263681,0.8841655551806658,1074.0
weighted avg,0.9515825769695645,0.9515828677839852,0.9513126957088819,1074.0
