,precision,recall,f1-score,support
0,0.6666666666666666,0.06060606060606061,0.1111111111111111,33.0
A,0.8439306358381503,0.9358974358974359,0.8875379939209727,468.0
B,0.9329710144927537,0.8987783595113438,0.9155555555555556,573.0
accuracy,0.8891992551210428,0.8891992551210428,0.8891992551210428,0.8891992551210428
macro avg,0.8145227723325235,0.6317606186716134,0.6380682201958798,1074.0
weighted avg,0.8859887605927395,0.8891992551210428,0.8786292189525282,1074.0
