,precision,recall,f1-score,support
0,0.6153846153846154,0.24242424242424243,0.34782608695652173,33.0
A,0.9325153374233128,0.9743589743589743,0.9529780564263323,468.0
B,0.9877622377622378,0.9860383944153578,0.9868995633187773,573.0
accuracy,0.9581005586592178,0.9581005586592178,0.9581005586592178,0.9581005586592178
macro avg,0.8452207301900554,0.7342738703995249,0.762567902233877,1074.0
weighted avg,0.9522463989381424,0.9581005586592178,0.9524817886952962,1074.0
