,precision,recall,f1-score,support
0,0.6,0.45454545454545453,0.5172413793103449,33.0
A,0.8980891719745223,0.9038461538461539,0.9009584664536742,468.0
B,0.9273356401384083,0.9354275741710296,0.9313640312771503,573.0
accuracy,0.9068901303538175,0.9068901303538175,0.9068901303538175,0.9068901303538175
macro avg,0.8084749373709769,0.764606394187546,0.7831879590137231,1074.0
weighted avg,0.904533570096261,0.9068901303538175,0.9053902399807896,1074.0
