timestamp	distance_cm	rssi_dbm
2026-06-23T23:14:01.188000	51.0	-73.0
2026-06-23T23:14:01.188176	44.0	-72.5
2026-06-23T23:14:01.188282	46.0	-71.5
2026-06-23T23:14:01.188369	50.0	-71.5
2026-06-23T23:14:01.188444	49.0	-71.5
2026-06-23T23:14:01.188515	50.0	-70.5
2026-06-23T23:14:01.188589	51.0	-71.0
2026-06-23T23:14:01.188660	51.0	-71.5
2026-06-23T23:14:01.188728	54.0	-71.5
2026-06-23T23:14:01.188798	55.0	-72.0
2026-06-23T23:14:01.188864	54.0	-71.5
2026-06-23T23:14:01.188932	51.0	-70.5
2026-06-23T23:14:01.189003	47.0	-71.5
2026-06-23T23:15:29.027409	54.0	-71.5
2026-06-23T23:15:29.027616	52.0	-71.5
2026-06-23T23:15:29.027697	57.0	-70.5
2026-06-23T23:15:29.027783	51.0	-71.5
2026-06-23T23:15:29.027858	49.0	-71.0
2026-06-23T23:15:29.027928	53.0	-72.0
2026-06-23T23:15:29.027997	53.0	-70.5
2026-06-23T23:15:29.028068	54.0	-72.0
2026-06-23T23:15:29.028133	49.0	-70.5
2026-06-23T23:15:29.028203	51.0	-71.0
2026-06-23T23:15:29.028269	55.0	-71.5
2026-06-23T23:15:29.028337	53.0	-71.0
2026-06-23T23:15:29.028404	54.0	-71.0
2026-06-23T23:16:25.100047	53.0	-69.5
2026-06-23T23:16:25.100180	53.0	-70.5
2026-06-23T23:16:25.100266	59.0	-70.5
2026-06-23T23:16:25.100342	55.0	-70.0
2026-06-23T23:16:25.100411	55.0	-70.5
2026-06-23T23:16:25.100484	54.0	-70.5
2026-06-23T23:16:25.100555	52.0	-70.5
2026-06-23T23:16:25.100625	52.0	-70.0
2026-06-23T23:16:25.100693	58.0	-71.0
2026-06-23T23:16:25.100759	55.0	-70.5
2026-06-23T23:16:25.100827	56.0	-69.0
2026-06-23T23:16:25.100892	54.0	-70.0
2026-06-23T23:42:17.988218	62.0	-77.0
2026-06-23T23:42:17.988444	64.0	-75.0
2026-06-23T23:42:17.988528	70.0	-72.5
2026-06-23T23:42:17.988645	70.0	-78.5
2026-06-23T23:42:17.988722	66.0	-75.0
2026-06-23T23:42:17.988795	75.0	-74.5
2026-06-23T23:42:17.988872	77.0	-72.5
2026-06-23T23:42:17.988946	73.0	-75.5
2026-06-23T23:42:17.989020	68.0	-74.0
2026-06-23T23:42:17.989090	74.0	-74.5
2026-06-23T23:42:17.989164	81.0	-73.5
2026-06-23T23:42:17.989241	82.0	-75.0
2026-06-23T23:42:17.989312	76.0	-72.5
2026-06-23T23:42:27.030594	116.0	-70.0
2026-06-23T23:42:27.030717	114.0	-71.0
2026-06-23T23:42:27.030793	119.0	-72.5
2026-06-23T23:42:27.030885	136.0	-73.0
2026-06-23T23:42:27.030955	136.0	-73.0
2026-06-23T23:42:27.031024	113.0	-76.0
2026-06-23T23:42:27.031092	108.0	-74.0
2026-06-23T23:42:27.031162	102.0	-73.5
2026-06-23T23:42:27.031233	110.0	-76.0
2026-06-23T23:42:27.031301	96.0	-76.0
2026-06-23T23:42:27.031368	95.0	-76.0
2026-06-23T23:42:27.031436	98.0	-75.0
2026-06-23T23:42:36.192584	114.0	-70.5
2026-06-23T23:42:36.192722	102.0	-78.5
2026-06-23T23:42:36.192809	111.0	-79.0
2026-06-23T23:42:36.192881	150.0	-76.0
2026-06-23T23:42:36.192952	117.0	-78.0
2026-06-23T23:42:36.193020	126.0	-76.0
2026-06-23T23:42:36.193086	114.0	-79.5
2026-06-23T23:42:36.193159	98.0	-82.0
2026-06-23T23:42:36.193227	140.0	-78.5
2026-06-23T23:42:36.193298	107.0	-81.0
2026-06-23T23:42:36.193365	159.0	-74.5
2026-06-23T23:42:36.193432	134.0	-73.0
2026-06-23T23:42:45.110469	123.0	-75.5
2026-06-23T23:42:45.110606	120.0	-75.0
2026-06-23T23:42:45.110681	115.0	-74.0
2026-06-23T23:42:45.110764	105.0	-78.0
2026-06-23T23:42:45.110833	145.0	-76.0
2026-06-23T23:42:45.110901	131.0	-76.5
2026-06-23T23:42:45.110972	100.0	-77.5
2026-06-23T23:42:45.111043	129.0	-78.0
2026-06-23T23:42:45.111110	122.0	-78.5
2026-06-23T23:42:45.111181	110.0	-79.5
2026-06-23T23:42:45.111252	105.0	-81.0
2026-06-23T23:42:45.111319	117.0	-79.0
2026-06-23T23:42:45.111384	153.0	-79.5
2026-06-23T23:42:54.176477	99.0	-78.5
2026-06-23T23:42:54.176634	100.0	-77.5
2026-06-23T23:42:54.176717	100.0	-76.5
2026-06-23T23:42:54.176802	113.0	-74.0
2026-06-23T23:42:54.176875	112.0	-74.5
2026-06-23T23:42:54.176951	114.0	-75.5
2026-06-23T23:42:54.177024	110.0	-74.0
2026-06-23T23:42:54.177095	112.0	-75.0
2026-06-23T23:42:54.177166	107.0	-76.0
2026-06-23T23:42:54.177234	108.0	-77.5
2026-06-23T23:42:54.177305	108.0	-73.5
2026-06-23T23:42:54.177377	107.0	-73.0
2026-06-23T23:42:54.177445	113.0	-73.0
2026-06-23T23:43:03.232527	106.0	-74.0
2026-06-23T23:43:03.232652	104.0	-74.0
2026-06-23T23:43:03.232735	82.0	-74.5
2026-06-23T23:43:03.232820	82.0	-71.0
2026-06-23T23:43:03.232891	79.0	-70.0
2026-06-23T23:43:03.232959	76.0	-71.0
2026-06-23T23:43:03.233027	66.0	-71.5
2026-06-23T23:43:03.233098	77.0	-68.5
2026-06-23T23:43:03.233168	76.0	-67.5
2026-06-23T23:43:03.233239	65.0	-68.5
2026-06-23T23:43:03.233309	61.0	-69.5
2026-06-23T23:43:03.233379	64.0	-66.0
2026-06-23T23:43:12.289928	66.0	-67.5
2026-06-23T23:43:12.290077	64.0	-66.0
2026-06-23T23:43:12.290154	66.0	-64.0
2026-06-23T23:43:12.290238	70.0	-64.5
2026-06-23T23:43:12.290310	72.0	-64.0
2026-06-23T23:43:12.290381	70.0	-64.0
2026-06-23T23:43:12.290448	67.0	-65.5
2026-06-23T23:43:12.290519	67.0	-63.0
2026-06-23T23:43:12.290585	62.0	-65.0
2026-06-23T23:43:12.290654	59.0	-65.5
2026-06-23T23:43:12.290728	59.0	-65.0
2026-06-23T23:43:12.290797	61.0	-63.5
2026-06-23T23:43:12.290867	62.0	-63.0
2026-06-23T23:43:21.354907	69.0	-63.5
2026-06-23T23:43:21.355043	65.0	-61.5
2026-06-23T23:43:21.355120	63.0	-63.5
2026-06-23T23:43:21.355204	62.0	-64.5
2026-06-23T23:43:21.355274	60.0	-63.5
2026-06-23T23:43:21.355347	61.0	-63.5
2026-06-23T23:43:21.355418	63.0	-63.5
2026-06-23T23:43:21.355487	65.0	-63.0
2026-06-23T23:43:21.355553	51.0	-65.5
2026-06-23T23:43:21.355622	53.0	-66.5
2026-06-23T23:43:21.355692	49.0	-66.5
2026-06-23T23:43:21.355760	52.0	-66.0
2026-06-23T23:43:21.355826	57.0	-65.0
2026-06-23T23:43:30.426025	52.0	-64.5
2026-06-23T23:43:30.426173	54.0	-64.5
2026-06-23T23:43:30.426252	53.0	-64.5
2026-06-23T23:43:30.426340	53.0	-64.0
2026-06-23T23:43:30.426411	52.0	-64.5
2026-06-23T23:43:30.426482	53.0	-65.0
2026-06-23T23:43:30.426551	51.0	-63.5
2026-06-23T23:43:30.426622	53.0	-64.0
2026-06-23T23:43:30.426687	51.0	-64.5
2026-06-23T23:43:30.426758	49.0	-64.0
2026-06-23T23:43:30.426825	53.0	-65.0
2026-06-23T23:43:30.426892	50.0	-64.5
2026-06-23T23:43:30.426962	49.0	-65.0
2026-06-23T23:43:39.481272	51.0	-66.5
2026-06-23T23:43:39.481408	57.0	-65.0
2026-06-23T23:43:39.481483	56.0	-67.5
2026-06-23T23:43:39.481568	50.0	-66.0
2026-06-23T23:43:39.481638	51.0	-68.0
2026-06-23T23:43:39.481786	49.0	-68.0
2026-06-23T23:43:39.481857	57.0	-68.0
2026-06-23T23:43:39.481926	52.0	-67.0
