timestamp,sensor,label,valor
1782251782078,mag_x,A,122.662506
1782251782078,mag_y,A,25.9125
1782251782078,mag_z,A,8.00625
1782251782078,mag_x,A,122.53126
1782251782078,mag_y,A,26.062502
1782251782078,mag_z,A,7.70625
1782251782079,mag_x,A,122.55
1782251782079,mag_y,A,26.062502
1782251782079,mag_z,A,7.0875
1782251782079,acc_x,A,0.78571695
1782251782079,acc_y,A,4.129805
1782251782079,acc_z,A,7.5673165
1782251782080,acc_x,A,1.0444286
1782251782080,acc_y,A,3.9405622
1782251782080,acc_z,A,7.5649214
1782251782081,gyr_x,A,-0.92920524
1782251782081,gyr_y,A,0.03848385
1782251782081,gyr_z,A,0.5217292
1782251782082,gyr_x,A,-0.9202834
1782251782082,gyr_y,A,0.08881913
1782251782082,gyr_z,A,0.46340418
1782251782082,rot_x,A,0.17402168
1782251782082,rot_y,A,0.1019293
1782251782082,rot_z,A,0.5642082
1782251782082,rot_w,A,0.8006222
1782251782082,rot_accuracy,A,2.0943952
1782251782083,rot_x,A,0.1669236
1782251782083,rot_y,A,0.09610843
1782251782083,rot_z,A,0.5693431
1782251782083,rot_w,A,0.7992173
1782251782083,rot_accuracy,A,2.0943952
1782251782084,acc_x,A,1.0827563
1782251782084,acc_y,A,3.9908671
1782251782084,acc_z,A,7.7781186
1782251782085,acc_x,A,1.1905528
1782251782085,acc_y,A,3.473444
1782251782085,acc_z,A,7.9362206
1782251782085,gyr_x,A,-1.0244162
1782251782085,gyr_y,A,0.28696436
1782251782085,gyr_z,A,0.69177717
1782251782086,gyr_x,A,-1.4181765
1782251782086,gyr_y,A,0.29215768
1782251782086,gyr_z,A,0.96635747
1782251782086,rot_x,A,0.15953977
1782251782086,rot_y,A,0.090826884
1782251782086,rot_z,A,0.5740255
1782251782086,rot_w,A,0.7979927
1782251782086,rot_accuracy,A,2.0943952
1782251782087,rot_x,A,0.15037987
1782251782087,rot_y,A,0.086147614
1782251782087,rot_z,A,0.5808557
1782251782087,rot_w,A,0.7953434
1782251782087,rot_accuracy,A,2.0943952
1782251782088,mag_x,A,122.981255
1782251782088,mag_y,A,26.38125
1782251782088,mag_z,A,6.7500005
1782251782089,mag_x,A,123.28126
1782251782089,mag_y,A,26.550001
1782251782089,mag_z,A,6.7312503
1782251782089,mag_x,A,122.850006
1782251782089,mag_y,A,26.531252
1782251782089,mag_z,A,6.6000004
1782251782311,acc_x,A,-0.13654228
1782251782311,acc_y,A,3.2135344
1782251782311,acc_z,A,8.052402
1782251782311,acc_x,A,0.7773328
1782251782311,acc_y,A,2.7679756
1782251782311,acc_z,A,8.372197
1782251782312,gyr_x,A,-0.7110857
1782251782312,gyr_y,A,0.30693868
1782251782312,gyr_z,A,0.22957149
1782251782313,gyr_x,A,-0.30321014
1782251782313,gyr_y,A,0.33050838
1782251782313,gyr_z,A,-0.029961476
1782251782313,rot_x,A,0.13826932
1782251782313,rot_y,A,0.078802645
1782251782313,rot_z,A,0.59007406
1782251782313,rot_w,A,0.79150766
1782251782313,rot_accuracy,A,2.0943952
1782251782314,rot_x,A,0.13103835
1782251782314,rot_y,A,0.07672517
1782251782314,rot_z,A,0.59284526
1782251782314,rot_w,A,0.79087096
1782251782314,rot_accuracy,A,2.0943952
1782251782315,mag_x,A,123.01875
1782251782315,mag_y,A,27.018751
1782251782315,mag_z,A,6.7312503
1782251782316,mag_x,A,123.318756
1782251782316,mag_y,A,27.187502
1782251782316,mag_z,A,7.0125003
1782251782316,acc_x,A,1.3618295
1782251782316,acc_y,A,3.3716362
1782251782316,acc_z,A,8.774638
1782251782317,acc_x,A,0.7797283
1782251782317,acc_y,A,3.2171278
1782251782317,acc_z,A,9.325598
1782251782318,gyr_x,A,-0.30560705
1782251782318,gyr_y,A,0.5218623
1782251782318,gyr_z,A,0.66794115
1782251782319,gyr_x,A,-0.7044276
1782251782319,gyr_y,A,0.62093496
1782251782319,gyr_z,A,0.90070856
1782251782319,rot_x,A,0.12668057
1782251782319,rot_y,A,0.07757311
1782251782319,rot_z,A,0.5932666
1782251782319,rot_w,A,0.7911821
1782251782319,rot_accuracy,A,2.0943952
1782251782320,rot_x,A,0.12191306
1782251782320,rot_y,A,0.0789628
1782251782320,rot_z,A,0.59940463
1782251782320,rot_w,A,0.7871572
1782251782320,rot_accuracy,A,2.0943952
1782251782321,mag_x,A,123.01875
1782251782321,mag_y,A,26.868752
1782251782321,mag_z,A,7.2000003
1782251782322,mag_x,A,123.450005
1782251782322,mag_y,A,27.206251
1782251782322,mag_z,A,7.3125005
1782251782323,mag_x,A,123.881256
1782251782323,mag_y,A,27.375002
1782251782323,mag_z,A,7.2937503
1782251782324,acc_x,A,0.07186436
1782251782324,acc_y,A,2.3679307
1782251782324,acc_z,A,10.089756
1782251782325,acc_x,A,-0.17007898
1782251782325,acc_y,A,1.0120897
1782251782325,acc_z,A,10.979676
1782251782325,gyr_x,A,-0.9995149
1782251782325,gyr_y,A,0.7575593
1782251782325,gyr_z,A,0.91628855
1782251782326,gyr_x,A,-0.9350644
1782251782326,gyr_y,A,0.8045655
1782251782326,gyr_z,A,0.93626285
1782251782327,rot_x,A,0.11339158
1782251782327,rot_y,A,0.0785259
1782251782327,rot_z,A,0.60771483
1782251782327,rot_w,A,0.7820861
1782251782327,rot_accuracy,A,2.0943952
1782251782328,rot_x,A,0.10174095
1782251782328,rot_y,A,0.07733469
1782251782328,rot_z,A,0.6164047
1782251782328,rot_w,A,0.77699
1782251782328,rot_accuracy,A,2.0943952
1782251782330,acc_x,A,-0.2503275
1782251782330,acc_y,A,-0.031141222
1782251782330,acc_z,A,11.680353
1782251782330,acc_x,A,-0.7629599
1782251782330,acc_y,A,-0.123367146
1782251782330,acc_z,A,11.886365
1782251782331,gyr_x,A,-0.6197365
1782251782331,gyr_y,A,0.8374565
1782251782331,gyr_z,A,0.9557045
1782251782332,gyr_x,A,-0.18083416
1782251782332,gyr_y,A,0.92081606
1782251782332,gyr_z,A,0.99219096
1782251782332,rot_x,A,0.09028781
1782251782332,rot_y,A,0.076857865
1782251782332,rot_z,A,0.625097
1782251782332,rot_w,A,0.7714886
1782251782332,rot_accuracy,A,2.0943952
1782251782333,rot_x,A,0.081027545
1782251782333,rot_y,A,0.07856038
1782251782333,rot_z,A,0.63360363
1782251782333,rot_w,A,0.76538175
1782251782333,rot_accuracy,A,2.0943952
1782251782334,mag_x,A,124.162506
1782251782334,mag_y,A,27.375002
