timestamp	distance_cm	rssi_dbm
2026-06-24T19:07:16.610837	119.0	-76.5
2026-06-24T19:07:16.611031	101.0	-79.5
2026-06-24T19:07:16.611121	106.0	-76.5
2026-06-24T19:07:16.611196	148.0	-77.5
2026-06-24T19:07:16.611268	126.0	-77.0
2026-06-24T19:07:16.611336	93.0	-78.0
2026-06-24T19:07:16.611406	92.0	-77.5
2026-06-24T19:07:16.611478	104.0	-77.0
2026-06-24T19:07:16.611616	107.0	-77.5
2026-06-24T19:07:16.611693	87.0	-77.0
2026-06-24T19:07:16.611760	92.0	-77.0
2026-06-24T19:07:16.611827	97.0	-79.0
2026-06-24T19:07:25.621908	105.0	-79.5
2026-06-24T19:07:25.622048	164.0	-80.5
2026-06-24T19:07:25.622126	121.0	-81.0
2026-06-24T19:07:25.622198	114.0	-81.0
2026-06-24T19:07:25.622267	116.0	-80.0
2026-06-24T19:07:25.622336	116.0	-81.0
2026-06-24T19:07:25.622404	166.0	-81.5
2026-06-24T19:07:25.622473	169.0	-81.0
2026-06-24T19:07:25.622541	126.0	-81.5
2026-06-24T19:07:25.622611	130.0	-81.5
2026-06-24T19:07:25.622679	136.0	-81.5
2026-06-24T19:07:34.692426	170.0	-82.0
2026-06-24T19:07:34.692487	198.0	-81.0
2026-06-24T19:07:34.692520	198.0	-81.0
2026-06-24T19:07:34.692549	211.0	-82.0
2026-06-24T19:07:34.692577	214.0	-81.5
2026-06-24T19:07:34.692612	196.0	-82.0
2026-06-24T19:07:34.692639	198.0	-81.0
2026-06-24T19:07:34.692665	213.0	-81.5
2026-06-24T19:07:34.692693	189.0	-82.0
2026-06-24T19:07:34.692720	171.0	-82.0
2026-06-24T19:07:34.692746	181.0	-82.0
2026-06-24T19:07:34.692772	187.0	-82.0
2026-06-24T19:07:43.746659	107.0	-81.5
2026-06-24T19:07:43.746794	117.0	-81.5
2026-06-24T19:07:43.746881	114.0	-80.0
2026-06-24T19:07:43.746955	105.0	-81.0
2026-06-24T19:07:43.747024	112.0	-79.5
2026-06-24T19:07:43.747096	117.0	-80.0
2026-06-24T19:07:43.747162	122.0	-80.5
2026-06-24T19:07:43.747231	118.0	-80.0
2026-06-24T19:07:43.747298	112.0	-81.0
2026-06-24T19:07:43.747366	119.0	-81.0
2026-06-24T19:07:43.747432	114.0	-81.0
2026-06-24T19:07:43.747497	114.0	-80.5
2026-06-24T19:07:52.822926	133.0	-82.0
2026-06-24T19:07:52.822986	123.0	-82.5
2026-06-24T19:07:52.823027	128.0	-82.5
2026-06-24T19:07:52.823058	130.0	-82.5
2026-06-24T19:07:52.823087	130.0	-82.5
2026-06-24T19:07:52.823116	127.0	-82.5
2026-06-24T19:07:52.823144	130.0	-82.5
2026-06-24T19:07:52.823173	124.0	-82.5
2026-06-24T19:07:52.823200	121.0	-82.0
2026-06-24T19:07:52.823227	149.0	-82.5
2026-06-24T19:07:52.823254	103.0	-83.5
2026-06-24T19:07:52.823282	157.0	-83.5
2026-06-24T19:08:01.850322	135.0	-82.5
2026-06-24T19:08:01.850454	138.0	-82.5
2026-06-24T19:08:01.850542	134.0	-83.0
2026-06-24T19:08:01.850615	138.0	-83.0
2026-06-24T19:08:01.850685	140.0	-83.0
2026-06-24T19:08:01.850753	139.0	-82.5
2026-06-24T19:08:01.850824	134.0	-83.0
2026-06-24T19:08:01.850891	131.0	-83.0
2026-06-24T19:08:01.850958	136.0	-83.0
2026-06-24T19:08:01.851025	139.0	-82.0
2026-06-24T19:08:01.851091	135.0	-82.0
2026-06-24T19:08:01.851158	132.0	-82.5
2026-06-24T19:08:10.844599	49.0	-65.0
2026-06-24T19:08:10.844661	30.0	-67.5
2026-06-24T19:08:10.844701	31.0	-67.0
2026-06-24T19:08:10.844730	35.0	-65.5
2026-06-24T19:08:10.844759	35.0	-66.0
2026-06-24T19:08:10.844786	38.0	-66.0
2026-06-24T19:08:10.844814	30.0	-67.0
2026-06-24T19:08:10.844840	29.0	-68.0
2026-06-24T19:08:10.844867	33.0	-65.5
2026-06-24T19:08:10.844895	31.0	-65.5
2026-06-24T19:08:10.844922	28.0	-67.5
2026-06-24T19:08:10.844949	35.0	-65.5
2026-06-24T19:08:19.912192	22.0	-67.5
2026-06-24T19:08:19.912322	30.0	-67.0
2026-06-24T19:08:19.912408	28.0	-66.5
2026-06-24T19:08:19.912483	31.0	-68.0
2026-06-24T19:08:19.912554	33.0	-67.5
2026-06-24T19:08:19.912626	28.0	-67.5
2026-06-24T19:08:19.912697	32.0	-67.5
2026-06-24T19:08:19.912766	31.0	-68.5
2026-06-24T19:08:19.912836	34.0	-70.0
2026-06-24T19:08:19.912903	31.0	-69.5
2026-06-24T19:08:19.912969	32.0	-68.0
2026-06-24T19:08:19.913035	29.0	-69.0
2026-06-24T19:08:29.009268	27.0	-69.5
2026-06-24T19:08:29.009399	27.0	-66.5
2026-06-24T19:08:29.009486	28.0	-66.0
2026-06-24T19:08:29.009557	24.0	-68.5
2026-06-24T19:08:29.009627	27.0	-68.5
2026-06-24T19:08:29.009697	30.0	-67.5
2026-06-24T19:08:29.009766	27.0	-68.5
2026-06-24T19:08:29.009835	25.0	-68.5
2026-06-24T19:08:29.009905	27.0	-69.0
2026-06-24T19:08:29.009970	29.0	-67.0
2026-06-24T19:08:29.010037	30.0	-66.5
2026-06-24T19:08:29.010105	21.0	-68.5
2026-06-24T19:08:37.971432	27.0	-67.0
2026-06-24T19:08:37.971494	21.0	-70.0
2026-06-24T19:08:37.971580	48.0	-67.0
2026-06-24T19:08:37.971613	43.0	-66.0
2026-06-24T19:08:37.971641	44.0	-63.5
2026-06-24T19:08:37.971674	40.0	-63.5
2026-06-24T19:08:37.971703	40.0	-64.0
2026-06-24T19:08:37.971730	40.0	-61.0
2026-06-24T19:08:37.971757	39.0	-63.0
2026-06-24T19:08:37.971784	47.0	-62.0
2026-06-24T19:08:37.971810	40.0	-62.5
2026-06-24T19:08:37.971839	45.0	-64.0
2026-06-24T19:08:47.350642	130.0	-85.0
2026-06-24T19:08:47.350722	144.0	-85.0
2026-06-24T19:08:47.350766	147.0	-82.5
2026-06-24T19:08:47.350817	147.0	-82.5
2026-06-24T19:08:47.350862	130.0	-85.5
2026-06-24T19:08:47.350905	190.0	-85.5
2026-06-24T19:08:47.350949	139.0	-85.0
2026-06-24T19:08:47.350990	201.0	-86.0
2026-06-24T19:08:47.351029	180.0	-88.0
2026-06-24T19:08:47.351069	214.0	-87.0
2026-06-24T19:08:56.105950	162.0	-88.0
2026-06-24T19:08:56.106012	193.0	-87.0
2026-06-24T19:08:56.106046	149.0	-86.5
2026-06-24T19:08:56.106082	161.0	-85.5
2026-06-24T19:08:56.106111	257.0	-85.0
2026-06-24T19:08:56.106138	169.0	-87.0
2026-06-24T19:08:56.106165	237.0	-87.5
2026-06-24T19:08:56.106192	176.0	-86.0
2026-06-24T19:08:56.106220	179.0	-85.0
2026-06-24T19:08:56.106246	183.0	-85.0
2026-06-24T19:08:56.106272	197.0	-86.0
2026-06-24T19:08:56.106300	180.0	-86.5
2026-06-24T19:09:05.250403	205.0	-87.0
2026-06-24T19:09:05.250530	185.0	-85.0
2026-06-24T19:09:05.250617	181.0	-86.0
2026-06-24T19:09:05.250694	204.0	-86.5
2026-06-24T19:09:05.250811	217.0	-88.0
2026-06-24T19:09:05.250885	184.0	-85.0
2026-06-24T19:09:05.250956	186.0	-85.0
2026-06-24T19:09:05.251026	209.0	-83.0
2026-06-24T19:09:05.251095	205.0	-84.0
