test_scene,test_loss,test_acc,n_test_samples,train_windows_total,train_windows_discarded,train_discard_pct,test_windows_total,test_windows_discarded,test_discard_pct
scene1,0.1556958109140396,0.9603524208068848,227,893,27,3.0235162374020157,227,0,0.0
scene2,0.359662264585495,0.9233449697494507,287,816,10,1.2254901960784315,304,17,5.592105263157895
scene3,0.24605652689933777,0.9646643400192261,283,828,17,2.0531400966183573,292,9,3.0821917808219177
scene4,0.579781711101532,0.8772563338279724,277,843,26,3.0842230130486357,277,0,0.0
